time,open,high,low,close,Volume,Volume MA,RSI,Plot,Tops,Bottoms,Bearish Divergence2,Bullish Divergence2,Bullish Divergence2,Bearish Divergence2,Bearish Divergence2,Bullish Divergence2,Bearish Divergence2,Bullish Divergence2
1675221900,39.88,39.88,39.88,39.88,17,384.7,49.41075671226847,0.005616650048541249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675222200,39.88,39.89,39.88,39.89,142,383.2,51.0974622562907,0.005005270555319867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675222500,39.87,39.89,39.86,39.86,291,396.8,46.12859645171943,0.0024691069510629398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675222800,39.86,39.89,39.83,39.88,1274,459.7,49.6442073126509,-0.0005460935723222767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675223100,39.84,39.89,39.84,39.84,927,490.35,43.52622535203057,-0.0049028599361015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675223400,39.84,39.87,39.83,39.87,426,433.2,48.638597204913694,-0.009260681345669954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675223700,39.86,39.87,39.85,39.87,437,444.45,48.638597204913694,-0.009568935829227871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675224000,39.86,39.91,39.85,39.87,619,428.35,48.638597204913694,-0.009701425926534581,-0.009701425926534581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675224300,39.85,39.87,39.85,39.87,33,406.5,48.638597204913694,-0.009694693257906567,NaN,-0.009694693257906567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675224600,39.85,39.87,39.85,39.85,337,401.85,44.9867879982025,-0.011579703265226692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675224900,39.85,39.89,39.85,39.85,1049,439.1,44.9867879982025,-0.014925543641166807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675225200,39.86,39.87,39.85,39.86,374,456.65,47.28201280783774,-0.016376645567471405,-0.016376645567471405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675225500,39.86,39.86,39.85,39.86,313,471.35,47.28201280783774,-0.016326568483545745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675225800,39.86,39.87,39.85,39.86,447,467.8,47.28201280783774,-0.016101324321613805,NaN,-0.016101324321613805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675226100,39.87,39.87,39.85,39.85,381,461.45,44.94022510646613,-0.016741977822452944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675226400,39.85,39.85,39.85,39.85,514,473.1,44.94022510646612,-0.018053807231681103,-0.018053807231681103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675226700,39.84,39.87,39.84,39.86,991,446.8,47.931107079745566,-0.01787534838576261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675227000,39.86,39.87,39.86,39.86,177,445.65,47.931107079745566,-0.01653123145491652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
